epoch,rollout_nrmse,rollout_nrmse_v,rollout_nrmse_w,loss_data,loss_ic,loss_phy1,total_loss,lambda_data,lambda_ic,lambda_phy1,batch_nrmse,rollout_smooth
1,9.073236674070358,0.48400041460990906,8.58923625946045,0.3934210538864136,0.2862855792045593,0.0007679574773646891,0.6804743409156799,0.9999996423721313,0.9999996423721313,1.0000007152557373,0.16953660733997822,9.073236674070358
2,16.212544173002243,0.36539337038993835,15.847150802612305,0.15905743837356567,0.29466548562049866,0.0005053536151535809,0.8572203516960144,0.10000000149011612,2.8549294471740723,0.1294487565755844,0.11849198583513498,9.144629749059677
3,12.891192018985748,0.5255857110023499,12.365606307983398,0.4105836749076843,0.22834154963493347,0.0012393816141411662,0.5800473690032959,0.6153966784477234,1.4282902479171753,0.9985021352767944,0.23749707266688347,9.182095371758937
4,8.189745247364044,0.3435671925544739,7.84617805480957,0.2894483804702759,0.17529916763305664,0.0003358622780069709,0.5594587922096252,1.1046202182769775,1.3664844036102295,0.5499899983406067,0.2412939891219139,9.172171870514989
5,4.8154527842998505,0.1665026843547821,4.648950099945068,0.11920148879289627,0.15985898673534393,0.00018844217993319035,0.3980008065700531,0.638028085231781,2.0135200023651123,0.35899919271469116,0.19686859659850597,9.128604679652836
6,2.8115401566028595,0.349293977022171,2.4622461795806885,0.037380900233983994,0.12813128530979156,0.0001465604145778343,0.276926726102829,0.35995054244995117,2.0555872917175293,0.5897359251976013,0.14131080731749535,9.065434034422337
7,1.510499745607376,0.3309502899646759,1.1795494556427002,0.03261841833591461,0.10415458679199219,0.00010862439376069233,0.21424251794815063,0.6237096190452576,1.8610975742340088,0.5178297758102417,0.09829556755721569,8.989884691534188
8,1.627141460776329,0.17782972753047943,1.4493117332458496,0.02218283712863922,0.09264340251684189,6.777248199796304e-05,0.20661963522434235,0.4786562919616699,2.115359306335449,0.4073027968406677,0.05689122434705496,8.91625725922661
9,2.3320681005716324,0.1682685762643814,2.163799524307251,0.008676773868501186,0.07304114103317261,5.1095466915285215e-05,0.1513928323984146,0.33423513174057007,2.032557964324951,0.6338661909103394,0.06641899980604649,8.850415367640059
10,2.977656841278076,0.26560044288635254,2.7120563983917236,0.013349742628633976,0.05704522505402565,7.857172022340819e-05,0.09201636165380478,0.6544302701950073,1.4586703777313232,0.8872290253639221,0.10146691277623177,8.791687782376439
