epoch,nrmse_data,nrmse_ic,nrmse_phy1,nrmse_phy2
1,8.945690006017685,9.073236674070358,9.00766235589981,8.943807274103165
2,8.944691267311574,9.108933211565018,9.028927925646306,8.9274396507442
3,8.939129003769757,9.127844505602122,9.026732894992888,8.89794203434959
4,8.929973316598762,9.123154009310932,9.003780131860125,8.861842880155663
5,8.918282558345805,9.101615503185878,8.965077266282124,8.826439437725634
6,8.903778290911875,9.070165126452963,8.915125615348398,8.797377855202754
7,8.889365649493568,9.032366799548734,8.862205442966351,8.769715436416957
8,8.877290192623425,8.995340672854873,8.814077807328164,8.73947557074577
9,8.867056017173061,8.962024309993458,8.771130760049852,8.70490429507133
10,8.857034023645147,8.932102472649882,8.732856560517629,8.671228489705964
11,8.846160184989909,8.903686644893424,8.698289804093932,8.638216173521576
12,8.83495463060065,8.876521048024523,8.664893384844923,8.604521879546382
13,8.823515463972791,8.849517609044762,8.631515159098672,8.569761291690245
14,8.811784600870308,8.821603567638027,8.598010635695008,8.533560549711025
15,8.799947490697289,8.792969620929993,8.564181049100458,8.496456943668287
16,8.788087668264284,8.76328712895344,8.529854674926277,8.45999885249016
17,8.775659680445875,8.732317555684409,8.495018434064924,8.425646113898734
18,8.762278125395104,8.700273169696201,8.45967978898841,8.391980713068095
19,8.748017785239522,8.667410109020045,8.423541712264306,8.357864743949328
20,8.733271844917265,8.633644575882839,8.386048579938794,8.32292336650088
21,8.71830120376573,8.598857236861033,8.346947188227864,8.287325146623033
22,8.703175234421515,8.56328932918017,8.306409753237313,8.251453551613727
23,8.687991351851995,8.527300905804042,8.264654081941671,8.216196540468555
24,8.673018991417921,8.49093764731,8.22183420536703,8.181706315136207
25,8.658253911294839,8.454205915805366,8.178091134188985,8.147298619724285
26,8.643629726590698,8.417390408838076,8.13357801490973,8.112852793831712
27,8.629228669919907,8.380712375055413,8.088487219991018,8.078165120025067
28,8.615144571275811,8.34418528282206,8.042903081527806,8.043068940226128
