epoch,share_data,share_ic,share_phy1,share_phy2
1,0.44164898673423025,0.5023858812862746,0.040773071506855184,0.015192060472639926
2,0.4428955277165659,0.5009513970916882,0.040909508277163664,0.01524356691458224
3,0.44414145544048866,0.49950802142741646,0.04105439341455671,0.015296129717538215
4,0.4453866319387805,0.49807031674901187,0.04119414942941191,0.015348901882795704
5,0.446634624608084,0.4966327866771021,0.04133132122189329,0.015401267492920598
6,0.447877982614861,0.4951919124464415,0.04147641771536019,0.015453687223337417
7,0.44911898885594814,0.4937534870387109,0.04162098282524132,0.015506541280099628
8,0.4503644564300727,0.4923113137047488,0.04176473227143741,0.015559497593741079
9,0.451606953135935,0.49086856213959046,0.041910758018594,0.015613726705880482
10,0.45284864588566476,0.4894260350015173,0.04205941825506461,0.015665900857753285
11,0.45409280473192515,0.48798612476621095,0.04220211007762038,0.015718960424243512
12,0.45533452151151865,0.4865427380145587,0.04235063921209445,0.015772101261828316
13,0.45657536714878955,0.4851042100246562,0.04249448552613171,0.01582593730042265
14,0.45781712962625926,0.48366696245199403,0.04263683874378302,0.01587906917796382
15,0.45906042395267627,0.48223058933273383,0.04277699503128759,0.0159319916833023
16,0.4602998970335369,0.48079576543186614,0.04291831105076113,0.01598602648383592
17,0.46153941984484925,0.47935751314173436,0.04306319974601234,0.016039867267404084
18,0.4627763683028435,0.47792378575599725,0.043206186484616466,0.016093659456542658
19,0.46401658856261585,0.4764873440442356,0.04334937172850751,0.016146695664641008
20,0.4652580693929971,0.47505045622805203,0.04349105499564635,0.01620041938330453
21,0.4664976734979248,0.473610735214877,0.04363786480601179,0.01625372648118639
22,0.4677338138633442,0.47217697375297263,0.04378246619249806,0.016306746191185037
23,0.46897353022165406,0.47074288672739656,0.04392296758660526,0.016360615464344107
24,0.47020820959509224,0.46930800419304736,0.04406854218883757,0.01641524402302285
25,0.47144211090829435,0.4678726922967468,0.04421822599300538,0.016466970801953563
26,0.47268000643937363,0.4664388070327286,0.04435948843198304,0.016521698095914722
27,0.4739151789191768,0.46500301547530043,0.04450540361681084,0.016576401988711915
28,0.4751505569159697,0.4635668767132886,0.044652715754745796,0.016629850615995926
29,0.47637963053776017,0.46213395404160257,0.044801623262525826,0.01668479215811148
30,0.4776169289005214,0.4607015251444551,0.044942706930260735,0.016738839024762742
31,0.4788442037022607,0.4592672368378182,0.04509613350812972,0.016792425951791246
32,0.48007348863827415,0.4578347903367609,0.04524414918404343,0.01684757184092151
33,0.4812989618197074,0.4564081459322358,0.04539127601413209,0.01690161623392476
34,0.4825248122639764,0.4549770037877865,0.04554256575250425,0.016955618195732877
35,0.48375795201276633,0.45354927799784167,0.045685518674933055,0.0170072513144589
36,0.48498443207523473,0.45211628477680926,0.045838286609979774,0.017060996537976193
37,0.4862144802412229,0.45068996934747396,0.045980803340373896,0.017114747070929255
38,0.48743690041788434,0.44926938921248516,0.04612406829366469,0.017169642075965812
39,0.48866338085958694,0.44784824899254183,0.04626599911982798,0.017222371028043307
40,0.4898836699360919,0.44642343598909157,0.046415674257206954,0.017277219817609595
41,0.49110394192521245,0.44500285873879236,0.0465631029539314,0.017330096382063825
42,0.4923255955357303,0.4435809834783456,0.04670944580747967,0.01738397517844442
43,0.493542308426654,0.4421575020436935,0.04686006298954703,0.017440126540105624
44,0.4947648592968169,0.4407382577071,0.04700408252017685,0.017492800475906317
45,0.4959798174356062,0.43931759047393193,0.04715399171838422,0.01754860037207773
46,0.49719941173294585,0.43789756730825413,0.04729785305410186,0.01760516790469819
47,0.49842106983145235,0.4364839966552254,0.04743571376062619,0.01765921975269606
48,0.4996398622005288,0.43506238216846693,0.04758360090269047,0.017714154728313898
49,0.5008552826110673,0.43364698975718774,0.04772999846111507,0.0177677291706299
50,0.5020718764592054,0.4322301189248132,0.04787531777580262,0.017822686840178802
51,0.5032844610282626,0.43081263001523035,0.0480264236937708,0.017876485262736143
52,0.5044921016452066,0.42939944109814887,0.04817554184924665,0.017932915407397804
53,0.505703758093057,0.4279866269185518,0.048323329795640295,0.01798628519275077
54,0.5069117428146758,0.42657971578095777,0.048468036444970705,0.01804050495939582
55,0.5081147961754329,0.4251707169154638,0.048618971459807994,0.01809551544929533
56,0.5093265451777894,0.42376413685369607,0.04875986532549655,0.018149452643018003
57,0.5105268660409303,0.42235331549521754,0.0489170460026062,0.018202772461245947
58,0.5117389128419892,0.4209450846886525,0.049058983091037456,0.018257019378320912
59,0.5129413783615336,0.41954184937206074,0.04920547496111705,0.01831129730528848
60,0.5141456282025709,0.41813785739575077,0.049352330816599586,0.018364183585078783
61,0.5153472157530123,0.41673549092209655,0.04949764146272748,0.018419651862163662
62,0.5165407088027971,0.415336137412827,0.04964700017476951,0.018476153609606454
63,0.5177375167587129,0.4139313634589793,0.04980238929014562,0.018528730492162172
64,0.5189320230201324,0.41253182688762147,0.04995163815818206,0.018584511934064057
65,0.520123169001943,0.41113547804478207,0.050102440732062936,0.018638912221211952
66,0.5213226137357021,0.4097401241318928,0.05024648777855397,0.018690774353851147
67,0.522512508335792,0.4083419372182619,0.050402290471554353,0.018743263974391806
68,0.5236956148695949,0.4069489101601853,0.050557920195040004,0.01879755477517967
69,0.5248872040237993,0.40556067235744714,0.05069975451626254,0.018852369102491055
70,0.5260721933093133,0.40417589100980134,0.0508449859679642,0.01890692971292109
71,0.5272530803429089,0.40278805892448155,0.05099693174209437,0.018961928990515346
72,0.5284388419413071,0.40140072928518267,0.05114462147147373,0.019015807302036475
73,0.5296203711125873,0.4000150281305192,0.05129417451768048,0.01907042623921304
74,0.5307997681686449,0.39863089096807564,0.05144471890605211,0.019124621957227465
75,0.5319729576770924,0.39725044737809706,0.051596371807740515,0.019180223137069973
76,0.5331550714324069,0.39586806992302265,0.051742064258670305,0.01923479438590011
77,0.5343316487125475,0.39449444174077625,0.05188546209925542,0.019288447447420858
78,0.5355078733170927,0.3931189503589037,0.05202982896094632,0.019343347363057203
79,0.5366780799149377,0.3917500936434245,0.052174998168810674,0.019396828272827214
80,0.5378500666767512,0.3903773040276576,0.052321033297728026,0.019451595997863228
81,0.5390204848187877,0.3890025627184322,0.05247034723000281,0.01950660523277733
82,0.5401953833181066,0.38763748190190767,0.05260796138834001,0.019559173391645684
83,0.5413609227905605,0.38626689998960567,0.05275813162120988,0.019614045598624022
84,0.5425168285751151,0.384902218287612,0.052911651315719156,0.019669301821553686
85,0.5436783190566905,0.38353730572290656,0.0530610906972245,0.019723284523178404
86,0.5448271506223062,0.3821725640180933,0.05322161374856692,0.019778671611033475
87,0.5459794563130047,0.380809583344569,0.05337595681737487,0.01983500352505133
88,0.5471353066468764,0.3794538847118428,0.053523659299465544,0.019887149341815305
89,0.5482906941540137,0.3780972650524105,0.053670508957974594,0.019941531835601357
90,0.5494443466527474,0.3767436228221297,0.05381692652377963,0.019995104001343255
91,0.5505874409370219,0.37539266869203536,0.05396879841837399,0.02005109195256871
92,0.5517267489794775,0.37404293935251465,0.05412306503613158,0.02010724663187624
93,0.552870196131579,0.3726919941867088,0.05427663773020817,0.02016117195150409
94,0.5540186673113769,0.3713415096152082,0.0544217758766941,0.02021804719672078
95,0.5551637059025236,0.36999602983779034,0.05456629429538602,0.020273969964300104
96,0.5562966493016114,0.3686487441069831,0.054724027018213064,0.020330579573192488
97,0.5574284790387755,0.3673085020833283,0.05487854343566525,0.02038447544223095
98,0.5585641164934461,0.36597409547594295,0.055021136718963956,0.02044065131164709
99,0.5596997969175803,0.3646393182842629,0.05516466055370125,0.020496224244455637
100,0.5608288920319212,0.3633004235398084,0.05531744120393882,0.02055324322433169
101,0.5619605397272944,0.3619730311828805,0.055457744868206885,0.02060868422161835
102,0.5630845011259071,0.36064755997834685,0.05560418108825249,0.02066375780749353
103,0.5642083430583771,0.35932084959150745,0.05575402855274168,0.020716778797373707
104,0.5653286443396953,0.3579950952774704,0.055902592683601905,0.020773667699232334
105,0.5664405008822186,0.35667719231951955,0.0560541963330826,0.02082811046517909
106,0.5675602367950642,0.3553529492464626,0.056203513093591576,0.020883300864881577
107,0.5686820272743124,0.3540304973965481,0.056349083232456645,0.020938392096682783
108,0.5697965460386278,0.35271232407887915,0.056498832853796574,0.02099229702869636
109,0.5709052438670233,0.3513948535498903,0.056655566889344325,0.021044335693742023
110,0.5720153806968132,0.3500788309679688,0.056808572627183064,0.021097215708034956
111,0.5731198568712604,0.3487718402593428,0.05695725566124739,0.021151047208149407
112,0.5742281961276781,0.3474661155156075,0.05709987775534109,0.021205810601373366
113,0.5753381454514978,0.3461590415798076,0.05724477409258418,0.021258038876110504
114,0.5764369650638173,0.3448594783320954,0.057387882951224246,0.021315673652863094
115,0.5775411020239464,0.34355860775192,0.05752781818320144,0.02137247204093215
116,0.5786389256895696,0.34226323039324147,0.05766919206155291,0.021428651855635895
