epoch,rollout_nrmse,rollout_nrmse_v,rollout_nrmse_w,loss_data,batch_nrmse,total_loss,rollout_smooth
1,8.945690006017685,0.3299911916255951,8.61569881439209,0.39533889293670654,0.20459298230707645,0.39533889293670654,8.945690006017685
2,8.446320652961731,0.9194198846817017,7.526900768280029,0.1359243094921112,0.14276599697768688,0.1359243094921112,8.935702618956565
3,6.1635594964027405,0.5806394219398499,5.582920074462891,0.25119102001190186,0.17797396145761013,0.25119102001190186,8.880259756505488
4,4.361285418272018,0.3452160060405731,4.016069412231445,0.11344833672046661,0.1632383894175291,0.11344833672046661,8.78988026974082
5,3.084594190120697,0.5404629111289978,2.544131278991699,0.048010651022195816,0.13436496257781982,0.048010651022195816,8.675774548148418
6,1.666148841381073,0.5190668702125549,1.147081971168518,0.06652150303125381,0.0953173115849495,0.06652150303125381,8.535582034013071
7,1.6974575817584991,0.31838706135749817,1.379070520401001,0.05415678396821022,0.05820215493440628,0.05415678396821022,8.39881954496798
8,2.851637214422226,0.28133925795555115,2.570297956466675,0.022552670910954475,0.08121662959456444,0.022552670910954475,8.287875898357063
9,3.760202467441559,0.38754159212112427,3.3726608753204346,0.025534115731716156,0.12918270751833916,0.025534115731716156,8.197322429738753
10,3.85605925321579,0.308055579662323,3.548003673553467,0.0466543510556221,0.16598141379654408,0.0466543510556221,8.110497166208294
11,3.4201146960258484,0.15051120519638062,3.2696034908294678,0.0378362312912941,0.1844880897551775,0.0378362312912941,8.016689516804645
12,3.24338299036026,0.3411751389503479,2.902207851409912,0.02092376910150051,0.18901317194104195,0.02092376910150051,7.921223386275757
13,3.1153713166713715,0.38821253180503845,2.727158784866333,0.035550348460674286,0.1873488985002041,0.035550348460674286,7.825106344883669
14,2.958083912730217,0.22658376395702362,2.7315001487731934,0.0406624935567379,0.18516391701996326,0.0406624935567379,7.7277658962406
15,2.893229514360428,0.15154245495796204,2.741687059402466,0.021476462483406067,0.18327892571687698,0.021476462483406067,7.6310751686029965
16,2.8700362741947174,0.26152244210243225,2.608513832092285,0.016073627397418022,0.1792413778603077,0.016073627397418022,7.535854390714831
17,2.574093759059906,0.27900999784469604,2.29508376121521,0.023759275674819946,0.1699407109990716,0.023759275674819946,7.436619178081733
18,2.084882155060768,0.2142942100763321,1.870587944984436,0.023209713399410248,0.15421893913298845,0.023209713399410248,7.329584437621313
19,1.6321080476045609,0.18324990570545197,1.4488581418991089,0.01429779827594757,0.13401160016655922,0.01429779827594757,7.215634909820977
20,1.3750476241111755,0.23515456914901733,1.1398930549621582,0.009744236245751381,0.11327425856143236,0.009744236245751381,7.098823164106781
21,1.2479512691497803,0.25291991233825684,0.9950313568115234,0.012707768008112907,0.09635318629443645,0.012707768008112907,6.98180572620764
22,1.1553165316581726,0.19046688079833984,0.9648496508598328,0.013906575739383698,0.08607393968850374,0.013906575739383698,6.865275942316651
23,1.1112339496612549,0.13471978902816772,0.9765141606330872,0.008458306081593037,0.08221149072051048,0.008458306081593037,6.750195102463542
24,1.201811134815216,0.19686764478683472,1.0049434900283813,0.004986477550119162,0.08271418232470751,0.004986477550119162,6.639227423110576
25,1.2904789298772812,0.2280329316854477,1.0624459981918335,0.009060113690793514,0.08607709780335426,0.009060113690793514,6.53225245324591
26,1.3461615592241287,0.17768748104572296,1.1684740781784058,0.011805728077888489,0.09177088551223278,0.011805728077888489,6.428530635365473
27,1.443101391196251,0.1392669528722763,1.3038344383239746,0.008220330812036991,0.09938204567879438,0.008220330812036991,6.3288220504820885
28,1.587179347872734,0.1756250113248825,1.4115543365478516,0.00638242345303297,0.10766035411506891,0.00638242345303297,6.233989196429901
29,1.6374100297689438,0.1859184354543686,1.4514915943145752,0.009049780666828156,0.11448691319674253,0.009049780666828156,6.142057613096682
30,1.5826615691184998,0.15541058778762817,1.4272509813308716,0.009946629405021667,0.11810552794486284,0.009946629405021667,6.050869692217118
31,1.515616536140442,0.14727020263671875,1.3683463335037231,0.00782423373311758,0.11828870419412851,0.00782423373311758,5.960164629095584
32,1.4777074754238129,0.17395314574241638,1.3037543296813965,0.007092785090208054,0.11609379108995199,0.007092785090208054,5.870515486022148
33,1.4277289658784866,0.17890436947345734,1.2488245964050293,0.00848380196839571,0.11283150501549244,0.00848380196839571,5.781659755619275
34,1.354320541024208,0.15020836889743805,1.20411217212677,0.008604813367128372,0.10936571378260851,0.008604813367128372,5.693112971327373
35,1.294863075017929,0.13421913981437683,1.1606439352035522,0.006608140654861927,0.1059807538986206,0.006608140654861927,5.605147973401184
36,1.264402136206627,0.155753955245018,1.1086481809616089,0.005569327622652054,0.10252301208674908,0.005569327622652054,5.518333056657293
37,1.210634469985962,0.16315221786499023,1.0474822521209717,0.006594743579626083,0.09867423679679632,0.006594743579626083,5.432179084923867
38,1.1335892081260681,0.1440436840057373,0.9895455241203308,0.006847091484814882,0.09443538449704647,0.006847091484814882,5.3462072873879105
39,1.0891034305095673,0.13846799731254578,0.9506354331970215,0.005528924986720085,0.09049348719418049,0.005528924986720085,5.261065210250344
40,1.0872645676136017,0.15136542916297913,0.9358991384506226,0.005107392091304064,0.08781605865806341,0.005107392091304064,5.177589197397609
41,1.0883271992206573,0.14991340041160583,0.9384137988090515,0.005787506699562073,0.08678878098726273,0.005787506699562073,5.09580395743407
42,1.0861221253871918,0.137338787317276,0.9487833380699158,0.00571017200127244,0.08700869791209698,0.00571017200127244,5.015610320793132
43,1.1004827171564102,0.138784721493721,0.9616979956626892,0.005041700322180986,0.08785196207463741,0.005041700322180986,4.937307768720397
