epoch,rollout_nrmse,rollout_nrmse_v,rollout_nrmse_w,loss_data,loss_phy2,total_loss,batch_nrmse,lambda_data,lambda_phy2,rollout_smooth
1,9.00766235589981,0.35140663385391235,8.656255722045898,0.3934210538864136,1.1681187970680185e-05,0.3934338688850403,0.16953660733997822,1.0000028610229492,0.9999971389770508,9.00766235589981
2,12.045600891113281,0.7244739532470703,11.321126937866211,0.13935795426368713,5.723450613004388e-06,0.0679958239197731,0.11886379308998585,0.48785996437072754,1.5121400356292725,9.038041741251945
3,8.71535211801529,0.32033926248550415,8.395012855529785,0.2979099154472351,2.7346127353666816e-06,0.36870047450065613,0.19234063476324081,1.237617015838623,0.7623829245567322,9.034814845019577
4,5.747766733169556,0.33687853813171387,5.410888195037842,0.1282261162996292,2.969057049995172e-06,0.12098651379346848,0.18110996671020985,0.9435158967971802,1.0564841032028198,9.001944363901076
5,3.474799335002899,0.4238552451133728,3.0509440898895264,0.06628932803869247,4.249149696988752e-06,0.036737725138664246,0.14506539795547724,0.554110050201416,1.445889949798584,8.946672913612094
6,1.8291271328926086,0.4085269570350647,1.420600175857544,0.047864507883787155,8.887792319001164e-06,0.01339241024106741,0.09493702184408903,0.27947887778282166,1.7205212116241455,8.8754974558049
7,1.3551009893417358,0.3366926908493042,1.0184082984924316,0.0350303128361702,9.643459634389728e-06,0.0058275265619158745,0.05819621495902538,0.16585175693035126,1.8341484069824219,8.80029349114027
8,1.9868289232254028,0.2491999864578247,1.7376289367675781,0.022508185356855392,1.0219431715086102e-05,0.0022702510468661785,0.05685610882937908,0.10000000149011612,1.9015326499938965,8.732158845461122
9,2.678785338997841,0.16938306391239166,2.509402275085449,0.016013341024518013,1.0650520380295347e-05,0.0016217888332903385,0.08795693330466747,0.10000000149011612,1.920544147491455,8.671625110396489
10,3.3033879697322845,0.1394248902797699,3.1639630794525146,0.015523659065365791,1.0953178389172535e-05,0.0037456101272255182,0.12045894749462605,0.24003493785858154,1.7702370882034302,8.617942738989846
11,3.7947484999895096,0.1728329211473465,3.621915578842163,0.0187198705971241,1.1081624506914522e-05,0.010079219937324524,0.15473668929189444,0.5375548601150513,1.4675811529159546,8.569710796599843
12,3.927372768521309,0.15541227161884308,3.771960496902466,0.026760900393128395,1.1003178769897204e-05,0.02025330811738968,0.18383709900081158,0.7563121914863586,1.246255874633789,8.523287416319057
